platform,source_id,url,phone_model_id,data_type,raw_text,cleaned_text,search_kw,created_at,like_count,fav_count,comment_count
smzdm,smzdm_1764947421740_7581,https://www.smzdm.com/p/163743757/,iphone_16_pro,post,【价格: 5399元】 今日必买：苹果 Apple iPhone 16 Pro 5G手机 128GB 黑色钛金属 (11:37 唯品会),今日必买：苹果 Apple iPhone 16 Pro 5G手机 128GB 黑色钛金属,iPhone 16 Pro,2025-12-05T23:10:21,0,0,0
smzdm,smzdm_1764947485988_3976,https://www.smzdm.com/p/162255548/,iphone_16_pro,post,【价格: 5449元（需用券）】 苹果 Apple iPhone 16 Pro 5G手机 128GB 白色钛金属 (11-12 08:19 京东),苹果 Apple iPhone 16 Pro 5G手机 128GB 白色钛金属,iPhone 16 Pro,2025-12-05T23:11:25,0,0,0
smzdm,smzdm_1764947550402_4593,https://www.smzdm.com/p/160483436/,iphone_16_pro,post,【价格: 5499元（需用券）】 国家补贴：苹果 Apple iPhone 16 Pro 5G手机 128GB 白色钛金属 (10-29 07:15 京东),国家补贴：苹果 Apple iPhone 16 Pro 5G手机 128GB 白色钛金属,iPhone 16 Pro,2025-12-05T23:12:30,0,0,0
smzdm,smzdm_1764947654578_3259,https://post.smzdm.com/p/a4425x0k/,iphone_16_pro,post,【价格: 无】 iPhone17真香！我却买了丐版16P——iPhone16pro与刚需周边体验谈 (09-18 17:27),iPhone17真香！我却买了丐版16P——iPhone16pro与刚需周边体验谈,iPhone 16 Pro,2025-12-05T23:14:14,0,0,0
smzdm,smzdm_1764947719630_3276,https://www.smzdm.com/p/163870953/,iphone_16_pro,post,【价格: 4888元（淘金币可抵48.88元起）】 移动端：Apple 苹果 iPhone 16 Pro 5G手机 (10:48 天猫国际),移动端：Apple 苹果 iPhone 16 Pro 5G手机,iPhone 16 Pro,2025-12-05T23:15:19,0,0,0
smzdm,smzdm_1764947783881_2942,https://www.smzdm.com/p/163888649/,iphone_16_pro,post,【价格: 5644元（需用券）】 国家补贴：Apple 苹果 iPhone 16 Pro 5G手机 128GB 白色钛金属 (15:02 京东),国家补贴：Apple 苹果 iPhone 16 Pro 5G手机 128GB 白色钛金属,iPhone 16 Pro,2025-12-05T23:16:23,0,0,0
smzdm,smzdm_1764947849698_5237,https://www.smzdm.com/p/160829804/,iphone_16_pro,post,【价格: 5499元】 国家补贴：苹果 Apple iPhone 16 Pro 5G手机 128GB 白色钛金属 (10-30 14:21 京东),国家补贴：苹果 Apple iPhone 16 Pro 5G手机 128GB 白色钛金属,iPhone 16 Pro,2025-12-05T23:17:29,0,0,0
smzdm,smzdm_1764947953458_6389,https://post.smzdm.com/p/akmvn0q9/,iphone_16_pro,post,【价格: 无】 二手淘一个5000+的iPhone 16 pro max 256g (09-21 21:30),二手淘一个5000+的iPhone 16 pro max 256g,iPhone 16 Pro,2025-12-05T23:19:13,0,0,0
smzdm,smzdm_1764948018380_4303,https://www.smzdm.com/p/162268372/,iphone_16_pro,post,【价格: 5444元（需用券）】 苹果 Apple iPhone 16 Pro 5G手机 128GB 原色钛金属 (11-12 10:21 京东),苹果 Apple iPhone 16 Pro 5G手机 128GB 原色钛金属,iPhone 16 Pro,2025-12-05T23:20:18,0,0,0
smzdm,smzdm_1764948082848_7894,https://www.smzdm.com/p/159666968/,iphone_16_pro,post,【价格: 5718.51元（需用券）】 苹果 Apple iPhone 16 Pro 5G手机 128GB 黑色钛金属 (10-14 17:21 京东),苹果 Apple iPhone 16 Pro 5G手机 128GB 黑色钛金属,iPhone 16 Pro,2025-12-05T23:21:22,0,0,0
smzdm,smzdm_1764948146425_6996,https://www.smzdm.com/p/160843437/,iphone_16_pro,post,【价格: 5499元】 今日必买：苹果 Apple iPhone 16 Pro 5G手机 128GB 原色钛金属 (10-30 16:05 京东),今日必买：苹果 Apple iPhone 16 Pro 5G手机 128GB 原色钛金属,iPhone 16 Pro,2025-12-05T23:22:26,0,0,0
smzdm,smzdm_1764948250015_8663,https://post.smzdm.com/talk/p/aqkzox82/,iphone_16_pro,post,【价格: 无】 iPhone 17和iPhone16 Pro，应该怎么选？ (11-24 19:40),iPhone 17和iPhone16 Pro，应该怎么选？,iPhone 16 Pro,2025-12-05T23:24:10,0,0,0
smzdm,smzdm_1764948354341_8305,https://post.smzdm.com/p/awmeodz2/,iphone_16_pro,post,【价格: 无】 太惨了！我的 iPhone 16 Pro 一年血亏四千多 (09-12 15:12),太惨了！我的 iPhone 16 Pro 一年血亏四千多,iPhone 16 Pro,2025-12-05T23:25:54,0,0,0
smzdm,smzdm_1764948419081_4747,https://www.smzdm.com/p/161028804/,iphone_16_pro,post,【价格: 6434元】 苹果 Apple iPhone 16 Pro Max 手机 支持全网通5G 全新 美版 256G (10-30 16:40 天猫国际),苹果 Apple iPhone 16 Pro Max 手机 支持全网通5G 全新 美版 256G,iPhone 16 Pro,2025-12-05T23:26:59,0,0,0
smzdm,smzdm_1764948482903_4825,https://www.smzdm.com/p/160375234/,iphone_16_pro,post,【价格: 5345元】 苹果 Apple iPhone 16 Pro 5G手机 美版 256G (10-22 16:56 天猫国际),苹果 Apple iPhone 16 Pro 5G手机 美版 256G,iPhone 16 Pro,2025-12-05T23:28:02,0,0,0
smzdm,smzdm_1764948546594_3607,https://www.smzdm.com/p/162433323/,iphone_16_pro,post,【价格: 5449元（需用券）】 苹果 Apple iPhone 16 Pro 5G手机 128GB 原色钛金属 (11-14 17:29 京东),苹果 Apple iPhone 16 Pro 5G手机 128GB 原色钛金属,iPhone 16 Pro,2025-12-05T23:29:06,0,0,0
